,unit,ticker,exchangeCD,utcOffset,currencyCD,barTime,closePrice,openPrice,highPrice,lowPrice,totalVolume,totalValue
202,1,1,XSHE,+08:00,CNY,14:22,8.69,8.68,8.7,8.68,503899,4378977.33
203,1,1,XSHE,+08:00,CNY,14:23,8.7,8.69,8.7,8.69,60800,528457
204,1,1,XSHE,+08:00,CNY,14:24,8.69,8.69,8.7,8.69,88299,767607.31
205,1,1,XSHE,+08:00,CNY,14:25,8.7,8.69,8.7,8.69,206801,1797645.1
206,1,1,XSHE,+08:00,CNY,14:26,8.68,8.68,8.69,8.67,473200,4107244.01
207,1,1,XSHE,+08:00,CNY,14:27,8.67,8.68,8.68,8.67,68100,590678
208,1,1,XSHE,+08:00,CNY,14:28,8.67,8.67,8.68,8.66,135900,1178185
209,1,1,XSHE,+08:00,CNY,14:29,8.68,8.67,8.68,8.67,76000,658975
210,1,1,XSHE,+08:00,CNY,14:30,8.68,8.68,8.69,8.68,636098,5521363.64
211,1,1,XSHE,+08:00,CNY,14:31,8.69,8.68,8.69,8.68,732964,6369115.16
212,1,1,XSHE,+08:00,CNY,14:32,8.7,8.7,8.71,8.69,1115297,9702907.1
213,1,1,XSHE,+08:00,CNY,14:33,8.7,8.71,8.71,8.7,97930,852338
214,1,1,XSHE,+08:00,CNY,14:34,8.7,8.7,8.71,8.7,396599,3453889.3
215,1,1,XSHE,+08:00,CNY,14:35,8.7,8.71,8.71,8.7,204200,1778417
216,1,1,XSHE,+08:00,CNY,14:36,8.7,8.7,8.71,8.7,111099,967255.3
217,1,1,XSHE,+08:00,CNY,14:37,8.7,8.7,8.71,8.7,85099,740605.3
218,1,1,XSHE,+08:00,CNY,14:38,8.7,8.71,8.71,8.7,98999,861545.3
219,1,1,XSHE,+08:00,CNY,14:39,8.7,8.7,8.71,8.7,162699,1416529.3
220,1,1,XSHE,+08:00,CNY,14:40,8.69,8.7,8.7,8.69,252858,2199679.6
221,1,1,XSHE,+08:00,CNY,14:41,8.69,8.69,8.7,8.69,187900,1633396
222,1,1,XSHE,+08:00,CNY,14:42,8.68,8.69,8.7,8.68,286599,2489543.32
223,1,1,XSHE,+08:00,CNY,14:43,8.68,8.68,8.69,8.68,53460,464205.8
224,1,1,XSHE,+08:00,CNY,14:44,8.69,8.68,8.69,8.68,104999,911857.32
225,1,1,XSHE,+08:00,CNY,14:45,8.68,8.69,8.69,8.68,133890,1162794.2
226,1,1,XSHE,+08:00,CNY,14:46,8.68,8.69,8.69,8.68,88700,770580
227,1,1,XSHE,+08:00,CNY,14:47,8.68,8.68,8.69,8.68,110670,961192.6
228,1,1,XSHE,+08:00,CNY,14:48,8.69,8.69,8.7,8.69,54120,470215.8
229,1,1,XSHE,+08:00,CNY,14:49,8.68,8.7,8.7,8.68,148980,1294696.2
230,1,1,XSHE,+08:00,CNY,14:50,8.69,8.68,8.7,8.68,624290,5427271.1
231,1,1,XSHE,+08:00,CNY,14:51,8.69,8.7,8.7,8.69,52340,454964.6
232,1,1,XSHE,+08:00,CNY,14:52,8.69,8.69,8.69,8.68,58136,505197.08
233,1,1,XSHE,+08:00,CNY,14:53,8.69,8.7,8.7,8.69,137080,1191568.2
234,1,1,XSHE,+08:00,CNY,14:54,8.69,8.7,8.7,8.68,1163160,10109797.2
